Tweets,Sentiment
"['@AkhileshPSingh @RahulGandhi देश की सबसे बड़ी बकवास, नाउम्मीद और निराशा \n#Rafool #NakliGandhi #Rafool #NakliGandhi 🤣\n#CHAMCHAS \n\nदेश का सबसे सच्चा सटीक हिन्दुओं का सूर्योदय सिर्फ और सिर्फ #बीजेपी #YugpurushModiji',",negative
" '@Abhiemanyu @Ishutyagi91 हा लोगो को #शौक चढ़ा है, #सिलेंडर घर में रखने के लिए, अगर #बीजेपी ने सिलेंडर का इंतजाम किया होता, तो लोगो को कभी नही रखना पड़ता, #सरकार पे भरोसा बचा नही तो लोग अपना इंतजाम खुद करेगे ही',",positive
" 'एक बात बोल रहा हु आने वाले चुनाव में लोगो को समझना होगा #AAP और @aimim_national बस वोट काटने के लिए #बीजेपी से पाल रखी है \nअपना #वोट बाटने न दे \n#UP #Goa #Punjab and #उत्तराखंड ध्यान रखे मोदी को हराना है वोट कटवाओ से सावधान\n#ModiResign #WhistlePodu @LambaAlka @INCIndia',",negative
" 'मैं #आरक्षण विरोधी हूं किंतु वोट #बीजेपी को दूंगा,\n मैं आरक्षण #विरोधी हूं वोट #कांग्रेस को दूंगा,,\nमूर्खो तुम आरक्षण विरोधी नहीं पार्टियों के गुलाम #दल्ले हो.!',",negative
" '@INCMP 😂😂😂 राहुल हैं तो #बीजेपी है।',",positive
" '#ModiResignOrRepeal #बीजेपी के मित्रो अभी भी वक्त है आप देश से माफी मांग कर इस्तीफा दे दो, खुद की इज्जत बचालो ।',",positive
" '@AnamikaSingh99 2 मई का पहला प्रश्न\nपत्रकार –कांग्रेस को 8 सीट में ही जीत क्यों मिला❓ \n\nचटवा – हमारे #राहुल जी ने अपना कार्यक्रम #रद्द कर दिया था,जिससे लोगों के मुख से हंसी चली गई और जनता ने गुस्से में #बीजेपी को वोट देकर जीता दिया।\n\n😂',",negative
" 'उत्सव तो कई सुने थे #बीजेपी के कार्यकाल मे एक और उत्सव का नाम जुड़ गाया  #शवउत्सव\n#शव उत्सव https://t.co/XGkTDa7FOu',",positive
" 'वो (#चुनावआयोग) नेताओं को नाचता था जब कोई  #शेषण  जैसा कोई चुनाव आयुक्त उसको चलता था। \nअब वो खुद सरकार के आगे मुजरा करता है क्योंकि अब बिके हुए #अरोरा जैसे चुनाव आयुक्त सरकार के घुंघरू जो बन बैठे है। कोई भी #बीजेपी वाला बजा कर चला जाता है। \n#EC_Cheats_India #ModiGovtSeNaHoPayega',",positive
" 'अभिव्यक्ति की आजादी क्या सिर्फ दलितों को ही दी गई है जो मर्जी चाहे करें, आखिर दलित आतंक कब तक\n#पीएम मोदी\n#आरएसएस\n#बीजेपी\n#कॉग्रेस',",positive
" '(1)#कोरोना से बचना है तो #बीजेपी ज्वाइन कर लो #वैक्सीन की कोई जरूरत नहीं\n(2) #दूसरा #बीजेपी #आरएसएस से सवाल करना छोड़ दें करोना से बचे रहेंगे\n(3) #इस तरह से सोशल डिस्टेंस बनाएं और नंगा पुंगा रहे और भक्ति में रम जाए https://t.co/SUr7EvVutU',",positive
" '2014 से पहले #बीजेपी वाले सेना पर सवाल उठाते थे विपक्ष में होने के नाते, अब वोही सवाल #कांग्रेस वाले उठाए तोह सेना का अपमान. \nअगर सेना पर सवाल उठाना गलत है तोह #मोदी सबसे पहले माफी मांगे क्युकी 70 साल विपक्ष में रहने के कारण बोहोत सवाल उठाए है बीजेपी ने।\n\n@ajitanjum @Dr_Uditraj https://t.co/I4UvbZgau3',",negative
" 'पिछले साल m.p में सरकार गिराने के लिए और इस बार दमोह\nवाह री भाजपा।🤬🤬🤬\nअगर जल्दी निजात नही पाया इस बीमारी से तो इतिहास में सबसे क्रूर कहलाओगे तुम।\nजिसने सत्ता के मोह में पूरे देश को आग के अंदर  झोंक दिया।\nऔरंगजेब ने जो अपने बाप के साथ किया तुमने पूरे भारत के साथ🙏\n#मोदी\n#बीजेपी',",negative
" '@narendramodi \nDear PM sir,\n#बीजेपी ने राकेश सिन्हा जैसे #दोगलों को इसलिए #राज्यसभा #सांसद बनाया की वे tv की थोथी बहसों में इन #जिहादियों को खरी खोटी सुनाएं और हकीकत में घर बुलाकर उनकी #चापलूसी करें।\n#बेशर्मी की भी हद होती है\n@BJP4India पथभ्रष्ट हो गई है।\n@amitmalviya \n@AmitShah https://t.co/FUa13HMxRq',",positive
" '@SanjayAzadSln @AamAadmiParty @INCIndia\n@ndtv @news24tvchannel को एक वेब साइट बनाकर स्टेट वाइस  कोरोना से मरने वाले लोगो का रजिस्ट्रेशन करना चाहिए।\n\nऐसा करने से #बीजेपी  शासित राज्यो में मरने वालो का सही आंकलन हो पाएगा।',",positive
" 'तापमान कितना भी गिर जाय।\nलेकिन #बीजेपी से ज्यादा नही \nगिर सकता।, \n\n     😂😂😂😂',",negative
" '@SitaSorenMLA जी, फुंसी को कैंसर बनाकर नींद से जगी है, #बीजेपी। \nभगवान सद्बुध्दि दे धर्म के #ठिकेदारों को...',",positive
" '@DChaurasia2312 बड़ी न्यूज ....बड़ी न्यूज... बड़ी न्यूज\nदीपक चौरसिया हजारों किलोमीटर दूर रहकर #बीजेपी के पक्ष में #चुनावी_रैलियों का #सोसल_डिसटेंसिग का पालन करते हुए रिपोर्टिंग....... नही नहीं......#चाटुकारिता......नही नही #दलाली... नही नही #पत्तलकारिता कर रहा है।',",positive
" '@NewsNationTV @DChaurasia2312 @manoj_gairola दलाल मीडिया कब जनता के हितों की आवाज उठाएगी। सरकारी संस्थाओं को गिरवी रखती जा रही हैं #बीजेपी की सरकार और #बिकाऊ  मीडिया #मोदी जी की तारीफ में लगी हुई हैं।',",positive
" '#बीजेपी का सपना साकार हुआ!\nपूरे देश #राम मय हुआ!\n#राम_नाम_सत्य_है का नारा बुलन्द हुआ??? https://t.co/s1rJ3ygkx2',",positive
" 'जय श्री राम जय श्री राम जय श्री राम बोल बोल कर #बीजेपी ने पूरे देश से बोलवा दिया #राम_नाम_सत्य है यही सबकी ? है',",positive
" 'बस @smritiirani  की  इतनी ही ज़रुरत रह गयी है #बीजेपी में?? इसको #MinistryofRGTweets क्यों नहीं दे देते?? 😂😂😂 https://t.co/RmJgA29M3H',",positive
" '#PMModi #NarendraModi #CMYogiAdityanath #CMOLucknow \n#dmvaranasi \nजब माननीय प्रधान मंत्री के संसदीय क्षेत्र वाराणसी में #बीजेपी के कार्यकर्ता के साथ इस तरह का वेयहवार किया जा रहा है तो जाहिर बात है आम गरीब इंसान का क्या होता होगा। मौत का जिम्मेदार कोन है ? https://t.co/dNix2XlF94',",positive
" '@imSapanPandey @cmohry @mlkhattar @Gurugram4BJP @BJP4Haryana @narendramodi @KapilMishra_IND @KapilParmar @Tejasvi_Surya @CharuPragya @srinivasiyc बाबा हमने भी #बीजेपी को वोट दिया था, १४ में भी , १९ में भी, पार्टी का सदस्य भी था, पर #ब्रह्मण_समाज में होते अत्याचार को देख के मैने #बीजेपी से दूरी बना लिया, ये किसी के नही है, सिर्फ हमे मूर्ख बना के हमे ही काट रहे है, और ब्रह्मण समाज के लड़के एक बंद करके नतमस्तक है',",positive
" '@Sanjib_Haloai मास्क बिल्कुल पहन ना चाहिए लेकिन सवाल वोही घूम फिर के आता है, क्या ये सिर्फ साधारण नागरिक के लिए है या देश का गृह मंत्री और प्रधान मंत्री के लिए भी है, क्यों की उनके चुनावी रैली में किसीको मास्क पहनने को नहीं देखा जाता है,फिर उनका चालान कौन कटेगा ???\nहै जवाब ??? #बीजेपी के पास!!',",negative
" '@SushantBSinha और यहाँ #बीजेपी के प्रवक्ता ने एक बार फिर #बीजेपी के ओर से सफाई पेश की',",positive
" '#ResignModi #GujaratModel #बीजेपी #BJP\nजिन लोगो को अभी भी मोदी बीजेपी की भक्ति पसंद है वोह यहां अपनी मां की कल्पना करके देखे । और समझ ले आप अंधभक्ति में डूबे मानसिक कमजोर, विचार करने कि क्षमता खो चुके हो, मानवभक्षी बन चुके हो https://t.co/ydKC0EZsii',",positive
" 'पश्चिम बंगाल चुनाव को लेकर बीजेपी का बड़ा फैसला, अब 500 लोगों की ही रैलियां करेंगे मोदी https://t.co/A8BWpucreR #westbengal #narendramodi #westbengalassemblyelections2021 #bjp #jpnadda #पश्चिमबंगाल #बीजेपी #जेपीनड्डा #नरेंद्रमोदी',",positive
" '@AmitShah अबकी बार अंतिम सरकार\n#बीजेपी',",positive
" '#बीजेपी ने बड़ी रैलियों पर लगाई रोक लेकिन छोटी रैली रहेंगी जारी जिनमें 500 लोग ही होंगे https://t.co/wFzWbzSQxi',",positive
" '@DM_Anika @narendramodi 🙏🙏 \nहे प्रभु ! #जय_श्रीराम आप इस #विश्वगुरु #भारत की धरती पर प्रकट हों और #दैत्य_रूपी_पार्टी #बीजेपी का #सर्वनाश कर दें।',",positive
" '@narendramodi 🙏🙏  लेकिन ग्यारह दिन बाद का फैसला क्यों?\nदो खुराक #Vaccine की तो अभी तक 1.61 करोड़ लोगों को ही लग पाई है, ये कैसा #vaccination चल रहा है, \n\nहे प्रभु ! #जय_श्रीराम आप इस #विश्वगुरु #भारत की धरती पर प्रकट हों और #दैत्य_रूपी_पार्टी #बीजेपी का #सर्वनाश कर दें।',",positive
